country;age;gender;Q1;sad;helpless;anxious;afraid;optimistic;angry;guilty;ashamed;hurt;depressed;despair;grief;powerless;indifferent;Q3;Q6;Doing enough to avoid a climate catastrophe;abandoned;hopeful;protected
India;20;woman;very;yes;yes;yes;yes;no;yes;yes;yes;no;yes;yes;yes;yes;no;yes;not at all;no;extremely;not at all;moderately
France;22;woman;very;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;no;no;yes;not at all;yes;moderately;very;moderately
France;19;woman;very;yes;no;no;yes;no;yes;no;yes;no;no;yes;no;yes;no;no;moderately;yes;a little;not at all;not at all
India;23;woman;very;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;very;yes;moderately;very;very
India;20;man;a little;yes;yes;yes;no;yes;no;no;no;no;yes;yes;yes;no;yes;yes;moderately;no;a little;a little;moderately
Australia;21;woman;moderately;no;yes;yes;yes;no;yes;yes;no;no;no;no;no;yes;no;no;not at all;yes;moderately;not at all;prefer not to say
France;23;woman;moderately;yes;no;no;yes;no;yes;no;yes;no;no;yes;no;yes;no;no;not at all;yes;moderately;not at all;prefer not to say
France;19;woman;moderately;no;yes;prefer not to say;no;no;prefer not to say;yes;no;no;no;yes;no;yes;prefer not to say;yes;not at all;prefer not to say;not at all;not at all;not at all
France;17;woman;very;yes;yes;yes;yes;yes;yes;yes;yes;no;no;no;no;yes;no;yes;a little;yes;a little;moderately;not at all
France;17;woman;moderately;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;a little;no;a little;not at all;a little
India;22;woman;extremely;no;no;yes;yes;no;no;no;no;no;no;no;no;no;yes;yes;very;no;moderately;very;not at all
India;19;woman;very;yes;yes;prefer not to say;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;moderately;prefer not to say;very;moderately;moderately
India;23;woman;extremely;yes;yes;no;yes;no;yes;yes;yes;yes;yes;no;yes;yes;no;yes;moderately;yes;extremely;a little;not at all
India;18;man;moderately;yes;yes;no;yes;no;yes;yes;yes;yes;no;no;no;yes;yes;no;a little;no;a little;not at all;a little
India;18;man;very;yes;no;no;yes;yes;no;no;no;yes;yes;no;no;yes;no;yes;very;yes;very;moderately;moderately
India;21;woman;extremely;yes;yes;yes;yes;no;yes;yes;no;yes;yes;yes;no;no;yes;no;completely reassured;yes;extremely;very;extremely
India;25;woman;moderately;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;moderately;yes;moderately;moderately;moderately
India;24;man;extremely;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;moderately;no;moderately;not at all;moderately
India;20;woman;very;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;prefer not to say;prefer not to say;yes;no;yes;a little;yes;moderately;a little;not at all
France;25;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;no;no;yes;a little;no;not at all;moderately;very
India;18;man;very;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;completely reassured;no;very;a little;a little
India;25;woman;extremely;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;moderately;yes;very;extremely;very
France;25;woman;very;yes;yes;yes;yes;no;no;no;no;no;no;yes;no;yes;no;no;a little;prefer not to say;a little;not at all;not at all
India;25;man;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;prefer not to say;yes;yes;yes;prefer not to say;prefer not to say;moderately;yes;moderately;not at all;a little
France;19;woman;extremely;yes;no;yes;yes;no;yes;yes;no;no;no;yes;yes;no;no;no;moderately;yes;moderately;moderately;moderately
India;23;woman;very;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;no;yes;no;not at all;yes;a little;not at all;a little
France;19;man;very;yes;yes;no;no;no;yes;yes;yes;yes;no;yes;no;yes;no;yes;moderately;no;moderately;very;not at all
Australia;25;woman;extremely;yes;yes;yes;yes;no;yes;no;no;yes;yes;yes;yes;yes;no;no;not at all;yes;a little;not at all;moderately
India;21;woman;very;no;no;no;yes;no;no;yes;no;no;no;yes;yes;no;no;no;moderately;no;a little;moderately;a little
France;25;woman;moderately;no;yes;yes;prefer not to say;yes;no;no;no;prefer not to say;no;yes;no;no;yes;yes;a little;yes;a little;a little;moderately
India;18;man;prefer not to say;no;yes;yes;no;yes;no;yes;no;no;yes;yes;yes;no;no;yes;completely reassured;yes;not at all;moderately;extremely
India;22;woman;very;yes;yes;yes;yes;no;yes;no;yes;yes;no;no;yes;yes;yes;yes;moderately;yes;a little;a little;moderately
India;25;man;extremely;yes;yes;yes;yes;yes;no;yes;no;no;yes;yes;yes;yes;yes;yes;very;yes;extremely;extremely;extremely
India;19;man;a little;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;yes;not at all;yes;not at all;very;not at all
India;23;man;very;yes;no;no;yes;yes;yes;yes;yes;yes;no;no;no;yes;yes;yes;very;yes;moderately;very;moderately
India;22;woman;very;yes;yes;yes;yes;prefer not to say;no;yes;prefer not to say;yes;yes;prefer not to say;yes;no;prefer not to say;yes;completely reassured;yes;prefer not to say;a little;prefer not to say
France;20;woman;very;no;yes;yes;yes;no;yes;no;no;yes;yes;yes;yes;no;no;no;moderately;yes;a little;very;a little
India;25;woman;moderately;yes;yes;no;yes;no;yes;no;no;no;no;no;no;no;yes;yes;a little;no;moderately;a little;not at all
India;18;woman;a little;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;a little;no;very;very;not at all
India;23;woman;a little;yes;yes;no;yes;no;yes;yes;no;yes;yes;yes;yes;no;yes;yes;a little;no;very;very;extremely
France;25;woman;very;yes;yes;yes;yes;no;yes;yes;yes;no;no;yes;yes;yes;no;no;not at all;prefer not to say;very;not at all;not at all
India;25;woman;extremely;yes;no;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;prefer not to say;yes;not at all;yes;extremely;a little;a little
France;16;man;moderately;no;yes;no;yes;no;no;yes;no;no;no;no;no;yes;no;yes;a little;yes;a little;a little;extremely
France;22;woman;extremely;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;no;moderately;no;moderately;moderately;moderately
India;22;man;extremely;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;very;yes;extremely;extremely;very
India;25;man;moderately;yes;no;yes;yes;no;no;yes;yes;no;no;no;no;yes;yes;yes;a little;no;not at all;very;moderately
India;20;woman;moderately;yes;yes;yes;yes;no;yes;yes;yes;yes;no;no;no;yes;no;no;not at all;no;a little;not at all;a little
France;20;woman;very;yes;yes;yes;yes;no;yes;no;no;yes;no;yes;yes;yes;no;yes;not at all;yes;moderately;a little;a little
India;21;man;extremely;yes;no;no;yes;yes;yes;no;yes;yes;no;yes;no;no;no;yes;moderately;no;a little;moderately;a little
India;23;woman;extremely;yes;no;yes;yes;yes;yes;yes;no;yes;no;prefer not to say;prefer not to say;no;no;no;moderately;yes;moderately;very;moderately
France;24;woman;moderately;yes;yes;no;yes;no;yes;no;yes;no;no;no;no;yes;no;no;moderately;yes;a little;moderately;moderately
France;18;woman;very;no;no;no;yes;no;no;no;no;no;no;no;no;yes;prefer not to say;no;not at all;prefer not to say;moderately;not at all;moderately
India;21;woman;very;yes;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;no;moderately;no;moderately;moderately;moderately
Australia;22;woman;a little;no;yes;yes;no;no;yes;no;yes;yes;yes;no;yes;yes;yes;yes;moderately;yes;moderately;a little;moderately
India;22;woman;very;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;very;yes;very;very;very
France;23;woman;extremely;yes;yes;yes;yes;no;yes;no;no;no;yes;yes;yes;yes;no;no;not at all;yes;very;not at all;moderately
India;20;woman;very;yes;yes;no;yes;yes;no;no;no;yes;no;no;no;yes;yes;yes;prefer not to say;prefer not to say;not at all;very;not at all
France;23;woman;very;yes;yes;yes;yes;no;yes;no;no;no;yes;yes;yes;yes;no;no;not at all;yes;moderately;a little;moderately
France;18;woman;a little;yes;no;no;yes;no;yes;yes;yes;no;no;yes;yes;no;no;no;very;yes;a little;very;extremely
India;20;man;extremely;yes;yes;yes;yes;no;yes;yes;no;no;no;yes;no;yes;yes;yes;completely reassured;no;moderately;extremely;moderately
India;22;woman;very;no;no;yes;no;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;moderately;yes;very;moderately;moderately
France;25;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;not at all;yes;moderately;moderately;moderately
France;16;woman;very;yes;yes;yes;yes;no;no;no;no;no;no;no;no;yes;no;no;not at all;yes;very;not at all;a little
India;20;man;extremely;yes;yes;yes;yes;yes;yes;no;no;yes;yes;yes;yes;yes;no;yes;completely reassured;yes;extremely;extremely;extremely
India;22;woman;extremely;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;completely reassured;yes;extremely;very;extremely
France;19;woman;moderately;yes;no;no;yes;no;no;no;yes;no;no;no;no;yes;no;no;moderately;no;moderately;moderately;not at all
India;23;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;no;yes;yes;yes;no;yes;moderately;no;very;a little;very
India;22;man;moderately;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;not at all;yes;a little;a little;a little
Finland;17;woman;very;yes;no;yes;yes;no;no;yes;no;no;yes;no;yes;no;no;yes;very;yes;moderately;a little;moderately
India;25;man;moderately;yes;no;no;yes;no;yes;no;no;no;yes;yes;no;no;yes;yes;very;no;not at all;not at all;not at all
France;19;man;very;yes;no;no;yes;no;yes;yes;no;yes;yes;yes;yes;no;no;yes;moderately;yes;very;not at all;moderately
India;23;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;a little;yes;moderately;a little;a little
Australia;20;woman;a little;no;no;yes;no;no;prefer not to say;no;no;yes;no;yes;yes;yes;no;yes;a little;yes;very;moderately;moderately
France;20;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;no;no;yes;not at all;yes;extremely;not at all;very
India;19;man;extremely;yes;yes;yes;yes;no;no;no;no;no;no;yes;no;no;no;no;moderately;no;moderately;moderately;moderately
India;21;man;very;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;very;yes;a little;a little;a little
France;25;woman;very;no;no;no;no;no;yes;no;no;no;no;no;no;yes;no;no;moderately;no;not at all;not at all;not at all
India;23;woman;moderately;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;moderately;no;moderately;moderately;moderately
India;17;man;a little;no;yes;no;no;no;yes;no;no;no;no;no;no;no;yes;yes;prefer not to say;no;not at all;very;not at all
United Kingdom;19;woman;a little;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;a little;no;not at all;not at all;moderately
France;24;woman;not worried;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;not at all;yes;very;not at all;moderately
India;22;woman;extremely;yes;no;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;no;yes;yes;a little;yes;a little;a little;moderately
France;18;man;not worried;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;not at all;no;not at all;not at all;not at all
India;20;man;extremely;no;no;yes;yes;no;no;yes;no;no;no;no;yes;yes;no;yes;very;yes;a little;moderately;moderately
France;25;man;a little;yes;yes;yes;no;no;no;no;no;no;no;no;no;yes;no;no;not at all;prefer not to say;prefer not to say;not at all;not at all
India;24;man;extremely;yes;yes;yes;yes;no;yes;yes;no;yes;yes;no;yes;yes;yes;yes;a little;yes;not at all;a little;very
France;18;man;moderately;yes;no;yes;no;no;no;yes;no;no;no;no;no;no;no;prefer not to say;moderately;no;moderately;moderately;moderately
Australia;24;woman;moderately;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;moderately;no;moderately;moderately;moderately
India;22;man;extremely;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;yes;completely reassured;yes;moderately;very;a little
India;22;man;moderately;no;prefer not to say;yes;prefer not to say;no;no;prefer not to say;yes;yes;no;yes;yes;no;yes;prefer not to say;prefer not to say;yes;moderately;extremely;extremely
India;25;woman;extremely;yes;no;yes;yes;prefer not to say;yes;yes;no;no;yes;yes;no;yes;yes;yes;moderately;yes;a little;a little;moderately
India;20;woman;very;yes;yes;yes;yes;no;yes;yes;yes;no;yes;yes;yes;yes;no;yes;not at all;yes;extremely;a little;extremely
France;22;woman;a little;no;yes;no;no;no;no;no;no;no;no;no;no;no;yes;no;not at all;yes;not at all;not at all;not at all
Brazil;21;woman;extremely;yes;yes;yes;yes;no;yes;yes;no;no;yes;yes;no;yes;no;yes;not at all;yes;very;not at all;very
India;25;man;extremely;yes;no;yes;yes;no;yes;yes;no;yes;no;yes;yes;no;yes;yes;a little;yes;very;a little;extremely
India;21;woman;very;yes;no;no;no;yes;yes;no;no;no;yes;yes;no;no;no;no;moderately;no;a little;moderately;a little
France;24;man;not worried;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;prefer not to say;prefer not to say;not at all;not at all;not at all
France;23;woman;very;no;yes;no;no;no;no;yes;no;no;no;no;yes;yes;no;no;prefer not to say;no;not at all;prefer not to say;not at all
India;22;man;not worried;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;not at all;no;moderately;moderately;a little
France;19;woman;very;yes;yes;yes;yes;no;yes;yes;yes;no;no;yes;yes;yes;no;yes;a little;yes;a little;not at all;a little
India;25;woman;very;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;no;yes;a little;yes;moderately;moderately;very
United States;17;woman;moderately;yes;no;yes;yes;no;no;yes;yes;yes;no;no;no;yes;yes;no;not at all;yes;a little;a little;not at all
India;21;man;extremely;yes;yes;yes;yes;yes;no;no;no;no;no;yes;no;yes;no;yes;not at all;no;a little;moderately;moderately
India;23;woman;extremely;yes;yes;yes;no;no;no;no;yes;no;yes;yes;yes;no;no;yes;completely reassured;no;moderately;very;a little
India;25;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;no;yes;yes;yes;yes;no;no;not at all;no;very;moderately;moderately
India;20;woman;extremely;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;moderately;yes;a little;a little;moderately
India;18;woman;a little;yes;yes;yes;yes;no;no;no;yes;no;no;yes;no;no;no;yes;completely reassured;yes;a little;a little;a little
India;21;woman;extremely;yes;yes;no;yes;yes;no;yes;yes;yes;no;no;yes;yes;yes;yes;very;yes;moderately;a little;moderately
India;24;woman;very;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;not at all;no;a little;not at all;not at all
India;24;woman;extremely;no;no;no;no;yes;no;no;no;no;no;no;yes;no;no;yes;completely reassured;no;moderately;very;not at all
France;23;man;extremely;yes;yes;yes;yes;no;yes;yes;yes;no;no;yes;yes;yes;no;no;not at all;yes;very;not at all;a little
France;20;man;a little;yes;yes;yes;no;yes;no;no;yes;no;no;yes;no;no;yes;yes;a little;no;very;very;moderately
India;19;woman;very;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;a little;yes;very;not at all;a little
India;17;man;prefer not to say;prefer not to say;prefer not to say;prefer not to say;prefer not to say;prefer not to say;prefer not to say;prefer not to say;prefer not to say;prefer not to say;prefer not to say;prefer not to say;prefer not to say;prefer not to say;prefer not to say;yes;prefer not to say;prefer not to say;prefer not to say;a little;prefer not to say
India;22;man;very;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;very;no;a little;a little;not at all
India;22;man;not worried;yes;yes;no;yes;yes;yes;yes;yes;yes;no;yes;no;yes;yes;yes;not at all;yes;not at all;a little;very
India;24;man;moderately;no;yes;no;no;no;yes;no;yes;yes;no;no;no;yes;no;yes;moderately;no;moderately;a little;not at all
France;24;woman;moderately;yes;yes;no;no;no;no;no;no;no;no;yes;no;yes;no;no;not at all;yes;a little;not at all;not at all
Australia;18;man;moderately;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;moderately;no;moderately;moderately;moderately
India;20;man;very;yes;yes;yes;yes;no;no;yes;yes;yes;yes;yes;no;yes;no;no;moderately;yes;extremely;moderately;moderately
India;19;woman;extremely;yes;no;yes;yes;no;yes;yes;yes;yes;yes;no;yes;no;no;yes;not at all;yes;moderately;a little;moderately
France;18;man;moderately;no;no;no;no;no;yes;yes;yes;yes;no;no;no;no;no;no;moderately;no;a little;moderately;a little
India;21;man;a little;yes;no;no;yes;yes;yes;yes;yes;no;yes;no;yes;yes;yes;yes;very;yes;a little;moderately;very
India;18;woman;extremely;no;yes;yes;yes;no;yes;yes;no;no;yes;no;yes;yes;no;yes;not at all;yes;extremely;a little;extremely
India;21;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;moderately;yes;a little;moderately;a little
France;24;woman;very;yes;yes;yes;yes;no;yes;no;yes;yes;no;yes;no;yes;no;yes;not at all;yes;very;not at all;a little
India;22;man;extremely;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;moderately;no;moderately;moderately;moderately
India;17;man;very;yes;no;yes;yes;no;yes;no;no;no;yes;yes;yes;no;no;yes;a little;yes;a little;not at all;moderately
France;19;woman;moderately;no;prefer not to say;yes;yes;no;yes;no;no;no;no;no;no;prefer not to say;no;no;moderately;yes;a little;a little;a little
India;18;woman;moderately;yes;yes;no;no;no;no;no;no;yes;yes;yes;no;no;yes;yes;very;yes;not at all;moderately;very
Australia;19;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;not at all;yes;extremely;a little;extremely
United Kingdom;21;man;a little;no;no;no;no;no;yes;yes;yes;yes;no;no;no;no;no;no;not at all;yes;moderately;a little;a little
India;22;man;very;yes;no;no;no;no;no;yes;no;yes;no;no;yes;no;yes;yes;a little;yes;moderately;moderately;moderately
India;20;man;very;yes;yes;yes;yes;no;yes;no;no;yes;no;no;no;no;yes;yes;very;no;not at all;not at all;a little
India;22;woman;very;yes;no;no;yes;no;no;yes;no;yes;no;no;no;no;yes;no;moderately;yes;moderately;moderately;moderately
India;22;man;extremely;no;no;no;yes;yes;no;yes;no;yes;yes;no;yes;no;yes;yes;moderately;yes;very;a little;prefer not to say
India;22;man;not worried;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;not at all;prefer not to say;extremely;not at all;very
France;24;man;very;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;moderately;yes;moderately;moderately;moderately
France;24;man;extremely;yes;yes;yes;yes;no;yes;yes;no;no;no;yes;no;yes;no;no;not at all;prefer not to say;a little;not at all;not at all
India;24;man;extremely;yes;no;yes;yes;yes;yes;no;yes;yes;yes;yes;no;yes;no;yes;completely reassured;no;extremely;extremely;moderately
India;25;man;very;yes;no;no;yes;yes;yes;yes;yes;yes;yes;no;no;yes;yes;yes;moderately;yes;very;a little;moderately
France;21;woman;very;yes;yes;no;no;no;yes;yes;no;no;no;yes;no;yes;no;no;not at all;yes;very;not at all;a little
India;20;woman;moderately;yes;yes;yes;no;no;yes;yes;no;yes;yes;yes;no;yes;yes;no;prefer not to say;yes;a little;moderately;moderately
France;19;woman;very;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;not at all;yes;very;not at all;very
India;24;woman;very;yes;yes;yes;no;yes;no;no;no;yes;no;yes;yes;yes;yes;yes;moderately;yes;moderately;moderately;moderately
India;19;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;moderately;yes;moderately;a little;very
France;20;man;moderately;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;not at all;no;very;very;very
India;24;woman;moderately;yes;yes;yes;yes;no;yes;yes;yes;yes;no;no;no;yes;no;yes;a little;yes;not at all;extremely;not at all
France;17;woman;moderately;yes;yes;yes;yes;no;yes;yes;no;no;no;no;no;yes;no;no;not at all;prefer not to say;a little;not at all;prefer not to say
India;20;man;prefer not to say;yes;no;no;no;no;no;yes;yes;no;yes;yes;no;yes;yes;yes;prefer not to say;no;extremely;extremely;not at all
France;24;woman;moderately;yes;no;no;yes;no;yes;yes;no;no;no;no;no;no;no;no;moderately;no;not at all;moderately;not at all
India;21;woman;very;no;yes;prefer not to say;no;no;prefer not to say;no;no;no;yes;yes;yes;no;yes;yes;very;prefer not to say;extremely;moderately;extremely
India;19;man;extremely;yes;no;no;no;no;yes;yes;yes;yes;no;prefer not to say;no;no;no;yes;not at all;yes;not at all;a little;prefer not to say
Australia;23;man;not worried;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;prefer not to say;no;not at all;not at all;not at all
India;23;woman;very;no;no;no;yes;no;yes;no;no;yes;no;no;no;no;yes;yes;moderately;no;a little;extremely;moderately
France;18;woman;moderately;yes;yes;yes;yes;no;yes;yes;yes;yes;no;no;no;no;no;no;not at all;no;a little;a little;a little
France;18;man;extremely;yes;prefer not to say;prefer not to say;yes;yes;yes;yes;yes;yes;no;no;yes;yes;no;prefer not to say;moderately;no;a little;moderately;a little
United Kingdom;20;woman;moderately;yes;no;yes;yes;no;yes;yes;yes;no;prefer not to say;yes;no;no;yes;no;a little;yes;prefer not to say;not at all;not at all
India;21;woman;very;yes;yes;yes;yes;no;yes;no;no;no;yes;no;no;no;no;yes;moderately;no;very;moderately;moderately
Finland;19;man;moderately;yes;no;yes;no;no;yes;no;yes;no;yes;yes;no;no;yes;yes;not at all;no;not at all;not at all;not at all
India;21;woman;moderately;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;a little;yes;moderately;moderately;extremely
India;22;man;extremely;no;no;no;no;no;yes;yes;yes;no;yes;no;no;no;yes;no;completely reassured;yes;extremely;very;extremely
France;22;man;extremely;yes;yes;yes;yes;no;yes;no;yes;yes;yes;yes;yes;yes;no;no;moderately;no;not at all;not at all;not at all
France;16;woman;extremely;yes;no;prefer not to say;yes;no;yes;yes;yes;no;no;yes;yes;yes;no;yes;moderately;yes;very;a little;moderately
Brazil;25;man;moderately;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;moderately;yes;a little;a little;a little
France;23;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;not at all;yes;moderately;not at all;not at all
India;19;man;not worried;yes;prefer not to say;no;yes;no;yes;yes;yes;yes;no;prefer not to say;prefer not to say;yes;yes;yes;not at all;yes;a little;a little;moderately
India;25;woman;very;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;moderately;no;moderately;a little;extremely
India;25;man;a little;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;yes;a little;yes;a little;very;a little
India;22;woman;extremely;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;very;yes;a little;very;a little
India;19;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;a little;no;very;not at all;moderately
India;18;man;very;yes;no;yes;yes;no;no;no;no;no;no;no;no;no;no;yes;moderately;yes;not at all;moderately;not at all
India;22;man;extremely;yes;yes;yes;yes;no;no;no;no;no;yes;no;yes;no;yes;yes;very;yes;moderately;very;very
India;22;man;very;no;yes;yes;yes;yes;yes;yes;yes;no;yes;no;yes;no;no;yes;not at all;yes;a little;prefer not to say;very
India;20;woman;moderately;yes;no;yes;yes;no;no;no;no;no;yes;yes;yes;no;yes;yes;a little;no;not at all;a little;not at all
United States;20;woman;very;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;not at all;yes;not at all;not at all;not at all
France;23;man;moderately;yes;no;no;yes;no;no;no;no;no;no;yes;no;yes;no;yes;moderately;no;a little;not at all;not at all
France;18;man;very;yes;no;yes;no;no;yes;yes;yes;no;no;no;no;yes;no;no;not at all;yes;a little;not at all;not at all
France;18;woman;extremely;no;no;yes;yes;no;yes;no;yes;yes;no;yes;yes;yes;no;yes;not at all;yes;very;not at all;a little
United Kingdom;22;woman;a little;yes;no;yes;no;yes;yes;no;no;yes;yes;no;yes;yes;yes;yes;a little;yes;moderately;moderately;moderately
France;23;woman;very;no;yes;no;no;yes;no;no;no;no;no;yes;yes;yes;yes;yes;moderately;no;moderately;a little;very
India;21;woman;very;yes;yes;yes;yes;no;no;no;no;no;yes;yes;no;yes;no;yes;moderately;yes;moderately;a little;moderately
India;21;man;moderately;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;a little;no;moderately;not at all;moderately
India;22;woman;moderately;yes;yes;no;yes;yes;no;no;no;yes;no;no;yes;no;no;no;a little;yes;not at all;very;not at all
France;20;woman;moderately;yes;yes;yes;yes;no;yes;no;yes;yes;yes;no;no;yes;yes;yes;very;yes;moderately;moderately;very
India;23;woman;very;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;moderately;yes;moderately;moderately;moderately
India;22;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;not at all;yes;moderately;not at all;moderately
India;18;woman;extremely;yes;yes;no;yes;yes;yes;no;no;yes;no;yes;no;yes;no;no;completely reassured;yes;a little;extremely;moderately
France;19;woman;extremely;yes;yes;yes;yes;yes;yes;yes;no;yes;no;no;yes;yes;no;no;not at all;yes;very;very;extremely
India;21;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;no;no;yes;yes;no;yes;not at all;yes;moderately;a little;very
India;20;woman;a little;no;no;yes;yes;yes;no;no;no;no;no;no;no;yes;no;yes;moderately;yes;not at all;not at all;a little
India;19;man;very;yes;yes;no;yes;yes;yes;no;no;yes;yes;no;no;yes;yes;yes;moderately;no;not at all;not at all;not at all
India;20;woman;very;yes;yes;yes;no;yes;yes;no;no;no;yes;yes;yes;yes;yes;yes;moderately;no;moderately;very;very
India;21;man;very;yes;no;no;yes;no;no;yes;no;yes;yes;no;no;yes;yes;yes;moderately;yes;a little;moderately;very
France;21;woman;moderately;no;no;yes;yes;no;no;yes;no;no;no;yes;no;no;no;no;not at all;yes;a little;moderately;very
France;20;woman;very;yes;yes;no;yes;no;yes;yes;no;yes;no;yes;yes;yes;no;no;moderately;yes;a little;not at all;not at all
India;21;woman;very;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;no;no;a little;yes;moderately;a little;moderately
India;19;man;very;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;no;yes;yes;no;yes;not at all;yes;a little;extremely;very
India;24;woman;very;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;yes;yes;no;yes;a little;no;not at all;moderately;not at all
India;25;man;extremely;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;prefer not to say;yes;yes;no;yes;a little;yes;moderately;extremely;very
India;19;man;a little;no;no;no;yes;yes;no;yes;yes;no;no;no;no;no;no;no;moderately;yes;not at all;not at all;a little
United States;23;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;no;no;not at all;yes;very;not at all;very
France;18;woman;moderately;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;no;no;not at all;yes;a little;not at all;not at all
India;21;man;very;yes;no;no;no;yes;yes;no;no;no;yes;no;yes;yes;yes;no;completely reassured;no;extremely;moderately;very
India;24;man;very;yes;no;no;yes;no;no;no;no;no;yes;no;yes;no;no;no;a little;no;a little;moderately;moderately
India;24;man;a little;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;a little;yes;very;a little;very
